text,sentiment,label
TUESDAY night IS BOGO FREE PIZZA!! Can't beat that. See you for DINNER!!! Brickhouse Pizzeria and Grill,Positive,2
Probably going to stream tomorrow when the servers come up. I'll be playing KPop and stuff so if you're interested in stopping by...!,Positive,2
Is the Pope a Catholic? Do they drive PU trucks in Alberta?,Neutral,1
"""Time for bed! Hope it rains tomorrow.... And wake up to a Harry, Niall, Liam, Louis and Zayn follow #MTVHottest One Direction""",Positive,2
Proud of my Mom for all her hard work with Best Business Strategies to get President\u2019s Circle in Sage 50 for the 2nd year in a row! Wooooo!,Positive,2
Josh Hamilton flies out to Center... We are going to the Bottom of the 9th tied at 7! #NeverEverQuit,Neutral,1
@user well shit! I hope your back for the morning show. I need you on my drive to Cupertino on Monday! Have fun!,Positive,2
"""Rome, Milan clamp down on cars as smog smothers Italy: Cars were banished Monday from the streets of Milan whi...",Neutral,1
"""Jon Pardi last night, JJ Longhorn and Moonlight Drive tonight, @user next Friday, and Jason Aldean in 2 weeks...I like concerts""",Positive,2
Brock Lesnar did what any other man cant now he will pay for it this sunday,Neutral,1
Tomorrow : The Red Devils are going to meet The Gunners \u002c Manchester United against Arsenal \u002c 8:45PM Live On ESPN & ESPN HD . #GGMU,Neutral,1
"If, Erdogan the terrorist, does not get removed and Abdullah Ocalan does not get released by August 30, turkey will be sliced in two",Negative,0
"@user -may try and poison me? Hmm?"" Hannibal stood straight, he said that in an almost sarcastic tone but this was still a cat -",Neutral,1
"""Marnin! Started my day with 7 Sun Salutes, (Yoga position that sounds like a cocktail) &amp; a foam roll, (gym equipment that sounds like cake)""",Positive,2
#AndThatsHowTheRiotStarted Nike invents the ultimate inner city shoe. Then only has 5 pairs made for black Friday. Go gettem!,Neutral,1
Caitlyn Jenner wears casual polo shirt and sun visor as she relaxes with a ... - Daily Mail,Neutral,1
Part of me hopes Abbott does it b/c I believe it will blow up in his face if he singles out Christians. It may take time for him to see why,Negative,0
Happy Good Friday is AWESOOMEEE! I got laid last night bc of it,Positive,2
"""Charlie Rose with Bill Joy; Daniel Barenboim (March 13, 2000): Bill Joy, chief scientist at Sun Microsystems, di...",Neutral,1
Ahhhh\u002c the sun is shining\u002c the birds are singing and this Nirvana track I have on is bringing it down. Skipety.,Positive,2
5th grade IRA projects on display during the first night of P/T conferences! #GreatWork,Positive,2
"""\""""""""I\u2019m not Mexican on cinco de mayo\u002c I\u2019m not black in Feb & I\u2019m not Chinese on the Chinese New Year so you\u2019re not Irish on st. Patrick\u2019s day.\""""""""""",Neutral,1
@user can\u2019t wait to see you Saturday! Texas is ready for you :),Positive,2
Every time I hear a Liverpudlian accent it reminds me of watching Brookside with Mum on a Sat teatime #MissThoseDays,Positive,2
"Oracle in lead, Softbank 2nd but looking like they have made a big gain - yes, Softbank go into the lead @user  #BringTheCupHome",Positive,2
Watching a Chuck Close documentary with my cat on a Friday night; I am exactly who my students imagine I am.,Neutral,1
MSNBC: Carly Fiorina may have a hard time making it to the next GOP debate despite climbing up in the polls:,Neutral,1
"""I have 3 pavilion seats for the Jason Aldean concert this Friday, if anyone is interested please dm me""",Neutral,1
Messi was just 20 years &amp; 161 days old when he secured a podium finish (3rd place) at the 2007 Ballon d'Or ceremony,Positive,2
MBN reveals #10 in #ORLrank tomorrow (top 10 players in Magic franchise history). Can\u2019t wait to reveal who it is.,Positive,2
"Can empathise completely with Scots nationalists, re: BBC coverage after Monday's Panorama. Left MUST stick together.",Positive,2
"For those of us who worked Labor Day, today was still a Tuesday, but for the rest of you folk, this was your day!",Positive,2
Since when did Pope have a Frosh Week? My sister is going to Camp White Pine tomorrow until Thursday afternoon. We never had that!,Positive,2
Just beat Dark Souls for the very first time! Thanks to everyone who showed up and hung out along the way. Starting on Saturday: Bows only!,Positive,2
So do I go to watch Rise & Super 8 today and then Cowboys tomorrow? Or do I leave it and do all 3 tomorrow? But be bored today...,Ambivalent,3
"""Assad continues to bombard #Homs, 4 the 17th consecutive day, mobile ntwrks off 4 the 4th day, mjr battles around Baba Amr #Syria""",Negative,0
"""The new @user comes out tomorrow, folks. How is Scott Walker polling in his home state? Enquiring minds want to know.""",Neutral,1
.@ZachLowe_NBA the Blazers have been cemented as my new 2nd-fave team based solely on how much of a Seinfeld fan Neil Olshey is. #cartwright,Positive,2
Sunday by Earl sweatshirt ft. Frank ocean still the GOAT,Neutral,1
"I honestly just can't wait to go to the Fair on Wednesday. Give me all the wine slushies, Strong Hearts wings &amp; milkshakes, and Snoop Dogg",Positive,2
Donald Trump: 'I will not be able to attend the Miss USA pageant tomorrow night because I am #breaking-news,Neutral,1
i don't understand the john cena meme but i need there to be one with him and april and the end of the johnny karate ep of parks and rec.,Neutral,1
My 3rd New Years resolution is I'm not gonna cry over Justin Bieber.. He'll come to me one day,Positive,2
"Should you upgrade from #Adobe #CS6 Suite? CS6 came out before the 1st iPad mini was released, in the same month Facebook bought Instagram!",Neutral,1
Starting off our Thursday we have for our pleasure....  Bee Gees with I Can't See Nobody,Positive,2
@user We are hoping for the September 17th. Just waiting for approval from Apple.,Neutral,1
Gucci unmentionables jivatma esoterica february plan the two yours connotative from mutual attraction in conte...,Neutral,1
Watching The Grey with Liam Neeson. One of my twitter friends recommend. And it\u2019s really good. Thanks for Tuesday night\u2019s entertainment.,Positive,2
Or when about 1/3 of Muslims stayed in India or when many in West Pak didn't want to join in the first place...,Neutral,1
"""#BEARDOWN Wish us luck...we may need it. (@ Georgia Dome for Atlanta Falcons vs. Chicago Bears in Atlanta, GA)",Positive,2
Idk bout your Saturday but damn mine was the shit...and I didn't even got to Jouvert,Positive,2
"Kicking off Saturday with Eric Church on Austin City Limits. Free download but expires tonight. Definitely ""X"" Country.",Positive,2
I can't tell if Red Bull are about to sell or if they're just waiting until Jozy is available in January. #mls,Neutral,1
He also told a story about a girl named Tamisha beat him up in 6th grade. He said she was like the Brock Lesnar of middle school girls,Neutral,1
"""if frank ocean drops the first part of 'boy don't cry' tomorrow, all will be well .""",Positive,2
@user ehm. Well. Uther was dying. Merlin pulled the last spark of life from him and pesky Morgana emerged 1st...,Negative,0
I'm sick as fuck but that's not stopping me from going to Disneyland  tomorrow,Positive,2
"From the #AppleEvent - New watch faces &amp; 3rd-party complications + Facebook messenger, GoPro, and Airstrip coming to Apple watch",Positive,2
"""Following Trump, Scott Walker and Ted Cruz, said they support revoking 14th amendment rights for the children of immigrants.""",Neutral,1
ALSO GOOD NEWS  i'm going to go see Ant-Man tomorrow /twerktwerk,Positive,2
@user dunkin on Monday I'll give you my card to get it,Neutral,1
One of these days the sun is gonna come out again... Grey\u002c rainy\u002c cloudy day after day in #TDot #Toronto,Neutral,1
David de Gea's proposed transfer from ManU to Real Madrid has stalled after the relevant paperwork was received 28 minutes late on Monday,Neutral,1
@user Happy Sunday to you too Maite!,Positive,2
@user Super Eagles performance was lacklustre &amp; disappointing. We may not qualify if the 'Guardiola of Africa' doesnt select well,Negative,0
Vice President Joe Biden gave his most striking and somber answer yet on Thursday about whether he plans to run...,Positive,2
"""Elton seriously knows how to make my mornings, man! That's all I look forward to on Tues &amp; Thurs mornings #USHistory #YouGoElton #ThanksJohn""",Positive,2
All the people seeing Noel Fielding tomorrow\u002c I am extremely jealous of you.,Negative,0
Good luck to @user for his interview with Justin tomorrow! You will nail it! I'll be watching out from India x :),Positive,2
Avril Lavigne says after debuting spring line for Abbey Dawn she may make own ...,Neutral,1
Sandy messed up the great feeling of the Redskins\u002c Cowboys\u002c an Eagles all losing on Sunday! #Giants,Ambivalent,3
Aaron Rodgers may be the best QB in the NFL and he is still improving -yahoo sports! Nigga fuck with my teamm,Positive,2
Thanks! @user Join Dean @user on Tues 10/16 from 4-5:30 in  BDR for the Dean\u2019s Q-Tea in honor of Nat\u2019l Coming Out Day #bsulife,Positive,2
@user we're having a ball thanks. High tea booked at The Royal George tomorrow. You want to be Katy Perry?,Positive,2
"""GUYS there's a chance I might go back to the stadium where WWAT was in, next saturday! It's not confirmed yet but I hope I can go!""",Positive,2
@user I'm watching the first half until Big Brother. It's like the 8th string players at this point.,Neutral,1
"@user @user @user as the SCOTUS has interpreted it,the legislation in the 14th amendment protects same-sex marriage",Neutral,1
Some folks wait for next Apple launch just so they can buy the new iPhone. And some wait just to buy a 2nd hand two gen old cheaper model.,Neutral,1
some times on Friday I'm still compelled to sing a little Rebecca Black. just 'cause.,Neutral,1
"@user @user  You may be right. However, Lincoln didn't listen to the SCOTUS when they said black people were not humans.",Neutral,1
@user even sxsw last yr he was there the 1st 2 days and went to Dallas the day stump was there,Neutral,1
"""Since Friday, I've been walking around reciting the lyrics to No Vaseline by Ice Cube. It's like I'm a kid again! Wait...""",Positive,2
@user I MISS YOU AND I BETTER GET A JUGE KISS AND HUG TOMORROW NIGHT (because you WILL BE at joe\u2019s :)),Positive,2
Good day to double up on yoga!  haha,Positive,2
Brock  Lesnar  and  the  Undertaker  brawl  on  Monday  night  raw part  1,Neutral,1
Pakistan clears visa accord\u002c India welcomes it - New Delhi/Islamabad\u002c Nov 1 (IANS) A day after Pakistan\u2019s cabinet ap...,Positive,2
"""Obama signed a law TODAY making gifts of up to $100,000 from an IRA tax-free again. If you want to give to the Foundation, call us Monday.""",Positive,2
Got a good day planned with Mrs W and kids and off to see Blackpool illuminations tonight :-) Then away with work yet again tomorrow :-(,Ambivalent,3
@user Me too! Hopefully I get back soon enough to enjoy some drinks!! Shawn was saying you guys will be there Fri and Sat nite??,Positive,2
Berita Union picketing brings a temporary halt to 2nd-season production of the NBC reality show 'Fashion Star.' ...,Neutral,1
"@user WWA concert film this weekend, you can pre-order the 'WWA Live From San Siro Stadium' DVD. Out Dec 1st.",Neutral,1
miley.. you better watch out for nicki backstage she may throw hands,Negative,0
What Ebert said about the FRIDAY THE 13th series is actually true of SHARKNADO: whatever you say about one can stand for all of them.,Neutral,1
this is like the 10th selfie of posted today looks like im turning into alli simpson oops,Neutral,1
Looks like it's gon be Netflix and dick in your mouth,Neutral,1
wait for the island show tomorrow is Shawn gonna be doing his full set or just some songs,Positive,2
So Bernie Sanders has the same birthday as me.,Positive,2
Taking my kids to meet father Christmas tomorrow. Then it's off to Milan on Sunday to show the Italian press our amazing game. Magnifico!,Positive,2
"""I just realized. After the whole slow mo march of T. Swift and her squad in Bad Blood, all she and Selena did was slap each other?""",Neutral,1
"Love my @user but 1st item under The Week in 8/24 issue about Planned Parenthood scandal was beneath you. I expect a little more, friends.",Negative,0
"Whatcha gonna do, when Donald Trump comes to a city near you brother! He may not have all the answers, but in the past 8 yrs. has Mr. Obama?",Negative,0
If BARACK OBAMA CARED 4 the people of NJ he would lift UNION BAN like George Bush did 3days after KATRINA. #sandy #October failed leadership,Negative,0
"As happy as I am to be going to Disneyland this Saturday, I wish I was going next Friday for Dapper Day instead.",Positive,2
Happy 9th anniversary to the group that brought me to kpop! Continue slaying. #BI6BAN9,Positive,2
"""Catholics give up stuff for Lent\u002c Jews are fasting today...being Presbyterian is starting to feel like the \""""""""Casual Friday\"""""""" of religions! ;)""",Neutral,1
Tonight going to see Foo Fighters in Concert + Friday Kenney Chesney :)),Positive,2
"Happy for Serena. I want her to win the 22nd GS, tie Steffi and win the CYGS. @user #usopen",Positive,2
Janet Street Porter shocks viewers with her comments about Prince George  Well Done JSP Bang on Right,Negative,0
To whom it may concern: I just fucked your bitch in some gucci flip flops.,Negative,0
"""I will watch Jimmy McGovern's Hillsborough tomorrow, I am absolutely knackered and don't think I could deal with watching now.""",Negative,0
Sorry for not replying much\u002c working but most want Sagna LB or TV5 shifted but remember Kos and Jenk played 120 mins tues too. #toughcall,Negative,0
"""Romney\u2019s great line about \""""""""trickle down government\"""""""" was coined by Gov. Mitch Daniels as early as January. Mitt uses good sources.""",Positive,2
"In French Open QF, Federer didn't break serve -- 1st time in Slam match in 13 years. Tonight he breaks for 1st time in his last return game.",Neutral,1
"@user Prendeville was on about violent videogames on Monday, even Minecraft is bad apparently... How long you about for?",Neutral,1
"""Carlos Rodon (@CarlosRodon16) is on pace for his 5th straight Quality Start (6 IP, 1 ER, 4ks), but the White Sox are currently down 0-1""",Neutral,1
James Franklin will have some 10 and 11 win seasons here but starting to think he isn't particularly good at the 'Saturday' part of his job.,Ambivalent,3
@user you better attend Justin's performance for the today show its on Thursday,Positive,2
"Disneyland for babes 3rd birthday, everything's paid for. Relax time with my #1",Positive,2
"Turkey's Erdogan fights for his throne by battling Kurds: Turkey went to the polls on June 7, but a new govern...",Neutral,1
"If you're an iPhone user like myself, new phone and more to be revealed in the next 20 minutes! Watch it live here",Positive,2
"""White Sox get 3 hits, make 2 outs on bases that inning. Manage a run on Sanchez 2-out single to center. Soto in rundown to end 2nd. 1-0""",Neutral,1
Sky Sports | Both Manchester United and Real Madrid want the DDG transfer to happen and are considering an appeal to make it happen tomorrow,Neutral,1
Had a dream that Angela Merkel was trying to get me to snort coke with her at a music festival. Happy Wednesday everybody,Neutral,1
@user Hey got your tix for Looper on Wed :) it\u2019s 630 at Sylvia Park - do you work in town?,Neutral,1
@user We haven\u2019t talked about it yet. However\u002c we are very excited about the Jan Revolution heifer calf that is inside of her.,Positive,2
@user @user Our team is the most hated in the league. Did you see Lee and Terry's frustration Tuesday? Welcome to the CELTICS!,Negative,0
"""Delicious Comfort food on a cold saturday: Braised Ribs with Apples, Onions, Potatoes and Sauerkraut @user",Positive,2
Andre Villas-Boas has played down speculation that he is already lining up a January bid for Brazilian Willian. -jla,Neutral,1
"@user may be Rahul Gandhi was going thru """"those days""""""",Neutral,1
Swihart singles up the middle to score Ortiz from 1st as Red Sox go ahead 1-0 in the 4th. Asher still in trouble with two on and one out.,Neutral,1
"@user trying to book for Thursday, says twilight tickets available but can't click on it and nobody ever answers the phone!""",Negative,0
My guess is that the Huntsman endorsement is a negative in the 4th District race. #utpol,Negative,0
THE ANTONIO FEIRCE just asked me to got to dunkin w him tomorrow ADLAKSJSKDH,Positive,2
Floyd Mayweather tells Ronda Rousey to call him ... when she makes... [Baltimore Sun]  #Boxing,Neutral,1
"@user @user @user 2nd to Kendrick in terms of lyrics. If he was more well known and could get better production, his""",Positive,2
@user :p nd im on job since 3rd day of Eid :(,Neutral,1
@user  Shutup you fat inbred hypocritical slut. I hope you and everyone who works for the sun get Ebola. You fat pig.,Negative,0
"""Published a new blog entry November 18 - \""""""""Otherwise Known as Sheila the Great\"""""""" in Art in the County.",Positive,2
"@user ahahaha, you're right,, btw actually idk why SM CEO right now KYM, how bout Lee soo man? may you tell me why?""",Positive,2
@user @user Ive just realized Minotaurs 1st Company consists of mostly Termies\u002c Preds and Vindicators lol #ForgeWorldOnly,Neutral,1
#TalkLikeYourBestFriend C\u2019mon Big Ben! We\u2019ll never win the Super Bowl if you keep throwing a pick six all the time!,Negative,0
@user @user Negative! 90\u2019s would be the Poetic Justice look or how they dressed in Friday.,Negative,0
"""RT @user lol, imma Real Madrid fan, i dont want Barca to win :D. And I can see that Barca is winning, crap haha. C'MON REAL F ...""",Neutral,1
I can't believe I just sat through Ant-Man again,Neutral,1
Knicks Vs. Hawks: Atlanta\u002c New York Battle For Playoff Positioning ...: The Knicks and the Hawks battle Sunday a...,Neutral,1
@user but the 12th man is still the 'Lionel Messi' for the manc scums unfortunately,Negative,0
LSU football seeks payback vs. Alabama in game with far-reaching implications - Chicago Sun -,Neutral,1
Sarah Palin came out of a hole to let you know she's still shockingly ignorant,Negative,0
I bet @user Kanye's speech!  Gonna have a lot of material for this Friday's monologue!  Trump and Kanye West!! does it get better! LOL,Positive,2
"""Frank Gifford not only had a terrific career in Football, but he was also one of the pioneers of Monday Night...",Positive,2
"""Angry Rodgers denies Sterling refused to play for England: Roy Hodgson claimed on Tuesday the winger was """"""""too ...",Negative,0
Exhausted after a long day at WPPI\u002c but ready to do it again tomorrow!,Ambivalent,3
"""Martin Jones / Jones will get the start Tuesday against the Bruins, Curtis #NHL #SJ""",Neutral,1
@user wait if this is true I'm gonna be so happy bc I thought eid was on the 23rd!!!,Positive,2
"""YOU can be a 'Switch On Superstar'! Every Saturday,u get chance to turn on Blackpool Illuminations - it could be YOU! Text LIGHTS to 80039!""",Positive,2
Kurt Cobain's Solo Album Will Be Released In November - Pink is the New Blog,Positive,2
"""What Gameplay do yall want to see tomorrow? Smash, Naruto, DBX, Yugioh?""",Neutral,1
@user Yes mam!Better Google it! You know some people dont have any work&amp; may create it as a big scene!Thiz happening for many celeb.Tc,Neutral,1
"@user you're welcome! in the words of snoop Dogg to say may our paths cross again, until the next episode, Karen ;)",Positive,2
"""805 pm tonite, 1st time on PTV, I'm on air with U2 &amp; Bruce Springsteen. answering #Sophie's q's about going from doctor to rockstar.Tune in!""",Positive,2
Friday night\u2019s concert with White Collar Side Show!,Neutral,1
I have a resting bitch face that would make Wednesday Adams jealous,Negative,0
"""Ready for the Looe Mini Street Party up on Sunnybank. Monday 3pm. Cake, quiche & other retro tiffin eats! All welcome.",Positive,2
"""Then on Saturday, we'll host a scrimmage open to the public at 1:30 p.m. in Comcast Center.",Neutral,1
Looking for 3 people to join my Younique team by Oct 31st. Just a few requirements: 1. Must love make up 2. Must...,Positive,2
@user KEY LARGO\u002c FL!!! Yay just ur neighbor Lisa a sip n a hop away :) always watching #RHOM Thur\u2019s!!,Positive,2
@user @user @user kerry the Judgement of G-D upon yr black conscience is going to be no myth may it be swift. Selah,Neutral,1
@user Tark may become another Suleman Rushdi as he thinks negativity rather positivity of Islam which is also a abnormal phenomenon.,Neutral,1
"Halcyon The Sun will be performing on Sept 12 at the Bentley's Back to School Bash.  Check out their album, Two...",Positive,2
Have the privilege to ride DOD sponsored float in January 1 Rose Parade in Pasadena\u002c California!,Positive,2
I'm kind of confused why my Amazon Prime stuff that shipped today isn't coming until the 19th-24th. That's certainly not two days.,Negative,0
Okay I'm rewatching that new kurt cobain documentary and I haven't been this far up nirvana's ass since the 8th grade,Neutral,1
@user @user Is Wednesday normally Cascades help day? I might want to make a trip at some point before January 21st.,Neutral,1
On Wednesday we welcome chef and restaurateur Antonio Carluccio to the store to sign copies of his new book.,Positive,2
Chili cooking on the stove top and am watching Crossfire Hurricane. Good start to Sunday.,Positive,2
"""New blog, nice conversations with friends (both staying in the deepest pits of hell) and going to see Paper Towns tomorrow. Good shit.""",Positive,2
im happy 1st i have the same b-day as chris jericho 2nd i just figured out rybacks birthday is one day after mine!!,Positive,2
"""Kanye West is running for president, but that may have just been the weed talking: (WireImage)",Neutral,1
@user @user   I also thought Seinfeld episode for the hair but I'm going with 6th grade class photo.,Neutral,1
@user Hello Aaron\u002c will you be with Israel tomorrow night?,Neutral,1
@user @user @user thinking about watching the AFL Rising Stars game Sat.  Anyone know if they have posted the rosters yet? #AZFL,Neutral,1
May or may not have danced with @user at zac brown band tonight #lifegoalcomplete,Neutral,1
@user @user I went to Texas A&amp;M but oddly never met Rick Perry.  I think he may have spent that year in Pakistan.,Negative,0
Hot Deal: Charlie Rose with Kofi Annan; Edward Said; Mort Zuckerman (July 28\u002c 2000): In anticipation of the upco...,Positive,2
"""So, if you have to go to work on a Saturday, what better way to start the journey, than with Nirvana? @user",Neutral,1
If it's U2 I'm breaking all my Apple devices,Negative,0
@user lol yeah was all set to oppose on sat until he got drawn vs Richard bland lol,Neutral,1
I hope this fever goes away tonight so we don't have to cancel Bentley's newborn pics tomorrow. #Hopeful,Neutral,1
My moms under the hilarious impression that I\u2019m spending my saturday loading & unloading furniture from trailers in natchitoches,Positive,2
#MLB #BlueJays David Price will be the starting pitcher vs Baltimore Orioles on Friday. @user,Neutral,1
"""Twitchy: At the MTV Video Music Awards Sunday night, Kanye West concluded an acceptance speech ... #WakeUpAmerica""",Neutral,1
Estella has become really dramatic all of a sudden. It\u2019s really cute now but I feel like at some point it may become a problem  #girls>boys,Neutral,1
@user Bruh. Gotta go lol. And Chris Brown is coming this Thursday after my first day at work. Lit like Bic.,Positive,2
"@user if ugly sunday's your fave u'll prob enjoy his 1st album. fun fact, kurt cobain does backing vocals in a song (down in the dark)",Positive,2
Don't forget the Twilight Farmers Market tomorrow at Sir William Fry Reserve.,Neutral,1
I don\u2019t think Dwight Howard is gonna last in LA. He\u2019s already frustrated and it\u2019s 2nd game... Uh oh,Negative,0
Ready for the Jason Aldean concert tomorrow tho,Neutral,1
Bobby Jindal's goofy J looks like a patriotic bubble pipe I'd use as a kid on the Fourth of July. #GOPClownCar,Negative,0
Murray gives something else for ASU D to think about.... This may help Allen as well....,Neutral,1
@user going by the last 3 games yes.I think son may bring last season Kane back.He under to much pressure .We expect to much of him,Positive,2
First home game tomorrow @ 7 against Eastern be there or you're gay and if you're gay you can still come too I guess,Neutral,1
@user May get a visit just after Christmas as I have more free time. Take care.,Neutral,1
NO14 - DEN 34; Peyton and Eli may meet in the Super Bowl if both Denver and the New York Giants keep winning like they did Sunday,Positive,2
Hide in country clubs all U want Boehner! ReverseRobocall.com launching soon & I'm one of 1st in line! Join me. #launch,Positive,2
I want to spend tomorrow drinking whiskey and listening to Foo Fighters,Positive,2
I am going to cut my hair tomorrow like Zayn Malik\u2019s hair style..Emotion: excited,Positive,2
Andre Berto insists he feels better than ever ahead of his biggest ever fight against Floyd Mayweather on September 12. The 31-year-old,Positive,2
"Heavy saturday, Barca. The rain was knowing that how much I love you !",Positive,2
"""Thoughts and prayers with Pavol Demitra's family today, and the entire hockey team who perished in a plane crash today.""",Neutral,1
If Milan wants to sign Witsel they have to close the deal by tomorrow. Otherwise Juve will go all in on Witsel if they fail with Draxler.,Neutral,1
5th Grade ALPS students encouraged their peers to donate Halloween candy for the Halloween Candy Buy Back...,Positive,2
@user Thanks Kerry! Break a leg tomorrow in the new digs :D,Positive,2
After today\u2019s bet came in I\u2019m feeling confident with tomorrow\u2019s bet: Ath Madrid\u002c Juve\u002c Napoli\u002c Bayern Munich\u002c Porto #comeon,Neutral,1
Mariah Carey cut a voluptuous figure when she stepped out in Sardinia on Thursday morning.,Positive,2
John Cena has just Turned Heel!!!!! #DownGoesStewart #JonStewartCena #Raw,Neutral,1
"@user Yes! What I mean is that especially after Michelle Obama, the 1st Lady (or, one day, man!) plays a huge role in social issues!",Positive,2
Such a fun party! Happy 17th birthday Briana! Everyone loved doing a paint party at the sleepover and the...,Positive,2
"@user Yes, near the Winspear Opera House in the Dallas Arts District. We have them Mon-Fri. Here's a map:",Neutral,1
tonight!!! (wed)--Mike \u2019Slo-Mo\u2019 Brenner solo opening for Jim White at Tin Angel. 8pm. c\u2019mon out!!...,Neutral,1
Not excited to take the SATs tomorrow,Negative,0
"I Want to be #UltimateNikeFan bt don't hav any Nike Product.Hope dey will Send me some products.So,That i may fall i love with @user @user",Neutral,1
